Name	Control	Source
PDX35AR	-	SRA
PDX35FOXA1	-	SRA
PDX35HOXB13	-	SRA
PDX35H3K27ac	-	SRA
LuCAP176nlAR	LuCAP176nlIN	Path
LuCAP176nlFOXA1	LuCAP176nlIN	Path
LuCAP176nlIN	-	Path
LuCAP176nlK27ac	LuCAP176nlIN	Path
LuCAP176nlK4me2	LuCAP176nlIN	Path
LuCAP176wzAR	LuCAP176wzIN	Path
LuCAP176wzFOXA1	LuCAP176wzIN	Path
LuCAP176wzIN	-	Path
LuCAP176wzK27ac	LuCAP176wzIN	Path
LuCAP176wzK4me2	LuCAP176wzIN	Path
LuCAP189_4wzAR	LuCAP189_4wzIN	Path
LuCAP189_4wzFOXA1	LuCAP189_4wzIN	Path
LuCAP189_4wzIN	-	Path
LuCAP189_4wzK27ac	LuCAP189_4wzIN	Path
LuCAP189_4wzK4me2	LuCAP189_4wzIN	Path
LuCAP35CRnlAR	LuCAP35CRnlIN	Path
LuCAP35CRnlFOXA1	LuCAP35CRnlIN	Path
LuCAP35CRnlIN	-	Path
LuCAP35CRnlK27ac	LuCAP35CRnlIN	Path
LuCAP35CRwzAR	LuCAP35CRwzIN	Path
LuCAP35CRwzFOXA1	LuCAP35CRwzIN	Path
LuCAP35CRwzIN	-	Path
LuCAP35CRwzK27ac	LuCAP35CRwzIN	Path
LuCAP35CRwzK4me2	LuCAP35CRwzIN	Path
LuCAP35CSnlAR	LuCAP35CSnlIN	Path
LuCAP35CSnlFOXA1	LuCAP35CSnlIN	Path
LuCAP35CSnlIN	-	Path
LuCAP35CSnlK27ac	LuCAP35CSnlIN	Path
LuCAP35CSnlK4me2	LuCAP35CSnlIN	Path
LuCAP35CSwzAR	LuCAP35CSwzIN	Path
LuCAP35CSwzFOXA1	LuCAP35CSwzIN	Path
LuCAP35CSwzIN	-	Path
LuCAP35CSwzK27ac	LuCAP35CSwzIN	Path
LuCAP35CSwzK4me2	LuCAP35CSwzIN	Path
