Name	Unit	Source Fastq1	Fastq2	Library
PDX35AR	1	SRA	SRR11856222	-	Single
PDX35FOXA1	1	SRA	SRR11856264	-	Single
PDX35HOXB13	1	SRA	SRR11856307	-	Single
PDX35H3K27ac	1	SRA	SRR11856390	-	Single
LuCAP176nlAR	1	Path	raw-data/LuCAP176nlAR_CKDL220029757-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176nlAR_CKDL220029757-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176nlFOXA1	1	Path	raw-data/LuCAP176nlFOXA1_CKDL220029753-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176nlFOXA1_CKDL220029753-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176nlIN	1	Path	raw-data/LuCAP176nlIN_CKDL220029757-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176nlIN_CKDL220029757-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176nlK27ac	1	Path	raw-data/LuCAP176nlK27ac_CKDL220029753-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176nlK27ac_CKDL220029753-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176nlK4me2	1	Path	raw-data/LuCAP176nlK4me2_CKDL220029755-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176nlK4me2_CKDL220029755-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176wzAR	1	Path	raw-data/LuCAP176wzAR_CKDL220029755-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176wzAR_CKDL220029755-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176wzFOXA1	1	Path	raw-data/LuCAP176wzFOXA1_CKDL220029756-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176wzFOXA1_CKDL220029756-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176wzIN	1	Path	raw-data/LuCAP176wzIN_CKDL220029756-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176wzIN_CKDL220029756-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176wzK27ac	1	Path	raw-data/LuCAP176wzK27ac_CKDL220029752-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176wzK27ac_CKDL220029752-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP176wzK4me2	1	Path	raw-data/LuCAP176wzK4me2_CKDL220029754-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP176wzK4me2_CKDL220029754-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP189_4wzAR	1	Path	raw-data/LuCAP189_4wzAR_CKDL220029757-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP189_4wzAR_CKDL220029757-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP189_4wzFOXA1	1	Path	raw-data/LuCAP189_4wzFOXA1_CKDL220029758-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP189_4wzFOXA1_CKDL220029758-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP189_4wzIN	1	Path	raw-data/LuCAP189_4wzIN_CKDL220029758-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP189_4wzIN_CKDL220029758-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP189_4wzK27ac	1	Path	raw-data/LuCAP189_4wzK27ac_CKDL220029757-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP189_4wzK27ac_CKDL220029757-1A_HLYT2DSX5_L2_2.fq.gz	Paired
LuCAP189_4wzK4me2	1	Path	raw-data/LuCAP189_4wzK4me2_CKDL220029755-1A_HLYT2DSX5_L2_1.fq.gz	raw-data/LuCAP189_4wzK4me2_CKDL220029755-1A_HLYT2DSX5_L2_2.fq.gz	Paired
